OID_;Id;Area;ORIG_FID;x;y
1;0;8,793432625299999;0;-76,482150999988789;7,316127000035791
2;0;8,793432625299999;0;-76,481428999817126;7,316078000079048
3;0;8,793432625299999;0;-76,481217999705308;7,315928000337108
4;0;8,793432625299999;0;-76,480802999960702;7,315685999628297
5;0;8,793432625299999;0;-76,480818835527984;7,315286452200302
6;0;8,793432625299999;0;-76,481114930038459;7,315141449952449
7;0;8,793432625299999;0;-76,481407999731545;7,315138999664923
8;0;8,793432625299999;0;-76,481667000213235;7,314714000061653
9;0;8,793432625299999;0;-76,482048000321058;7,314256999667213
10;0;8,793432625299999;0;-76,482504999963922;7,313929999652163
11;0;8,793432625299999;0;-76,482517000323895;7,313464000235782
12;0;8,793432625299999;0;-76,482544999628672;7,313131000310857
13;0;8,793432625299999;0;-76,482593999637785;7,312981999838525
14;0;8,793432625299999;0;-76,482581388620261;7,312667338934729
15;0;8,793432625299999;0;-76,482370999826117;7,312341000450258
16;0;8,793432625299999;0;-76,482103116907496;7,312381803203477
17;0;8,793432625299999;0;-76,482176000450565;7,312047999942957
18;0;8,793432625299999;0;-76,482279999556766;7,311707000033509
19;0;8,793432625299999;0;-76,482533999639685;7,311282999567649
20;0;8,793432625299999;0;-76,482685000432923;7,310663000406930
21;0;8,793432625299999;0;-76,482950999696982;7,310218000408609
22;0;8,793432625299999;0;-76,483285000095947;7,310263000011757
23;0;8,793432625299999;0;-76,483659999930495;7,310311000351886
24;0;8,793432625299999;0;-76,483635999723219;7,310494000373418
25;0;8,793432625299999;0;-76,483592214911326;7,310961693278315
26;0;8,793432625299999;0;-76,483549000187026;7,311389000029093
27;0;8,793432625299999;0;-76,483499000246297;7,312012999705320
28;0;8,793432625299999;0;-76,483499999882511;7,312949000433976
29;0;8,793432625299999;0;-76,483489951911878;7,313342489404491
30;0;8,793432625299999;0;-76,483490999838082;7,313971000240435
31;0;8,793432625299999;0;-76,483494791832882;7,314245909394648
32;0;8,793432625299999;0;-76,483439026193238;7,314395016510445
33;0;8,793432625299999;0;-76,483395164442030;7,314676793416841
34;0;8,793432625299999;0;-76,483054000033135;7,315193999832711
35;0;8,793432625299999;0;-76,482529999826014;7,315379999800027
36;0;8,793432625299999;0;-76,482751935296903;7,315558749567723
37;0;8,793432625299999;0;-76,482150999988789;7,316127000035791
